start_station_name,num_trips_per_station,day_of_trip,member_casual,avg_ride_length
,0,7,casual,15.79
,0,4,casual,13.12
,0,6,casual,14.0
,0,1,casual,16.23
,0,3,casual,13.39
,0,5,casual,13.52
,0,2,casual,14.51
Monticello Ave & Chicago Ave,15,7,casual,18.6
Monticello Ave & Chicago Ave,9,5,casual,7.44
Monticello Ave & Chicago Ave,11,6,casual,21.18
Monticello Ave & Chicago Ave,11,2,casual,10.73
Monticello Ave & Chicago Ave,10,1,casual,27.9
Lamon Ave & Chicago Ave,20,7,casual,23.4
Lamon Ave & Chicago Ave,19,1,casual,32.74
Lamon Ave & Chicago Ave,12,3,casual,14.58
Lamon Ave & Chicago Ave,23,4,casual,39.83
Lamon Ave & Chicago Ave,23,6,casual,17.65
Lamon Ave & Chicago Ave,15,5,casual,34.8
Public Rack - Kildare Ave & Division St,3,5,casual,22.33
Kildare Ave & Division St,9,2,casual,15.67
Kildare Ave & Division St,8,4,casual,53.5
Public Rack - Kildare Ave & Division St,5,6,casual,4.4
Kildare Ave & Division St,4,1,casual,12.25
Kildare Ave & Division St,3,7,casual,16.33
Kildare Ave & Division St,8,3,casual,25.88
Kildare Ave & Division St,3,6,casual,14.0
Lavergne Ave & Division St,14,2,casual,29.5
Lavergne Ave & Division St,11,6,casual,44.0
Lavergne Ave & Division St,5,7,casual,26.2
Lavergne Ave & Division St,11,3,casual,22.73
Menard Ave & Division St,9,5,casual,21.89
Menard Ave & Division St,9,7,casual,22.0
Menard Ave & Division St,10,1,casual,31.1
Leamington Ave & Hirsch St,19,1,casual,26.42
Leamington Ave & Hirsch St,16,4,casual,24.75
Leamington Ave & Hirsch St,13,6,casual,47.62
Leamington Ave & Hirsch St,7,2,casual,16.0
Leamington Ave & Hirsch St,13,5,casual,39.31
Leamington Ave & Hirsch St,7,3,casual,22.29
Major Ave & Bloomingdale Ave,17,5,casual,15.65
Major Ave & Bloomingdale Ave,12,1,casual,82.75
Major Ave & Bloomingdale Ave,9,2,casual,43.78
Major Ave & Bloomingdale Ave,8,7,casual,37.88
Narragansett & McLean,19,4,casual,14.05
Narragansett & McLean,15,3,casual,16.67
Narragansett & McLean,14,1,casual,46.79
Narragansett & McLean,13,6,casual,22.31
Narragansett & McLean,10,2,casual,15.6
Narragansett & McLean,12,5,casual,10.42
Narragansett & McLean,11,7,casual,19.36
North Ave & New England Ave,6,5,casual,12.83
North Ave & New England Ave,4,3,casual,19.25
North Ave & New England Ave,5,2,casual,34.6
North Ave & New England Ave,7,7,casual,7.57
North Ave & New England Ave,10,6,casual,7.3
Lockwood Ave & Wrightwood Ave,42,5,casual,16.0
Lockwood Ave & Wrightwood Ave,36,3,casual,15.94
Lockwood Ave & Wrightwood Ave,38,4,casual,16.5
Lockwood Ave & Wrightwood Ave,34,7,casual,21.91
Lockwood Ave & Wrightwood Ave,30,2,casual,16.9
Lockwood Ave & Wrightwood Ave,46,6,casual,18.09
Lockwood Ave & Wrightwood Ave,30,1,casual,13.43
Long Ave & Belden Ave,18,7,casual,13.61
Long Ave & Belden Ave,32,2,casual,10.87
Long Ave & Belden Ave,26,3,casual,12.96
Long Ave & Belden Ave,34,6,casual,12.56
Long Ave & Belden Ave,27,4,casual,15.37
Long Ave & Belden Ave,29,5,casual,12.83
Long Ave & Belden Ave,24,1,casual,14.42
Narragansett & Wrightwood,92,5,casual,10.79
Narragansett & Wrightwood,106,6,casual,13.6
Narragansett & Wrightwood,115,7,casual,19.17
Narragansett & Wrightwood,118,2,casual,12.83
Narragansett & Wrightwood,90,3,casual,12.83
Narragansett & Wrightwood,99,1,casual,18.51
Narragansett & Wrightwood,87,4,casual,12.63
Lamon Ave & Belmont Ave,59,7,casual,19.93
Lamon Ave & Belmont Ave,48,3,casual,14.06
Lamon Ave & Belmont Ave,66,4,casual,17.53
Lamon Ave & Belmont Ave,48,2,casual,11.23
Lamon Ave & Belmont Ave,58,5,casual,11.93
